,puma,BABS_Poverty_Total,BABS_Poverty_M,BABS_Poverty_F,HS_Poverty_Total,HS_Poverty_M,HS_Poverty_F,HSINC_Poverty_Total,HSINC_Poverty_M,HSINC_Poverty_F
0,Total Geo,0.09910868500106404,0.09072568611300123,0.1050451425286579,0.290825826367761,0.2330401956158037,0.3474486857757769,0.5880437527411916,0.5166675200983153,0.6650913412375977
1,Westchester County (Southwest)--Yonkers City PUMA,0.099116569704805,0.10231362467866324,0.09681008902077151,0.2189083371718102,0.14742729306487695,0.2947318462268628,0.46693386773547096,0.3125,0.5559065066329754
2,St. Lawrence County PUMA,0.07142857142857142,0.03571428571428571,0.08333333333333333,0.5340314136125655,0.5,0.5474452554744526,0.7142857142857143,0.5,1.0
3,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",0.10377358490566038,0.09801633605600933,0.11050477489768076,0.19442441720740206,0.1687219730941704,0.21371476651241061,0.33195020746887965,0.165625,0.4640198511166253
4,Erie County (Central) PUMA,0.18009478672985782,0.2647058823529412,0.12301587301587301,0.26583407671721676,0.24915824915824916,0.2846299810246679,0.6796407185628742,0.7105263157894737,0.6132075471698113
5,Monroe County (South) PUMA,0.023983315954118872,0.0,0.05764411027568922,0.1513157894736842,0.04,0.22391304347826088,0.7922077922077922,1.0,0.15789473684210525
6,Onondaga County (North) PUMA,0.020114942528735632,0.0,0.061946902654867256,0.16542473919523099,0.1493975903614458,0.19140625,0.5283018867924528,0.7068965517241379,0.046511627906976744
7,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",0.09212840809146877,0.035277177825773935,0.11712567268122824,0.3245609595627309,0.2380584666298952,0.3978866654198616,0.654,0.5960754332313966,0.7097644749754661
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.07065217391304347,0.03225806451612903,0.10989010989010989,0.20374220374220375,0.1452991452991453,0.2591093117408907,0.5776699029126213,0.7115384615384616,0.16
9,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,0.0,0.0,0.0,0.147534516765286,0.06978319783197832,0.2559017941454202,0.5347222222222222,0.47596153846153844,0.6875
10,Suffolk County (Northwest)--Smithtown Town PUMA,0.10311493018259936,0.24935064935064935,0.0,0.025528169014084508,0.0380517503805175,0.008350730688935281,0.2905982905982906,0.05172413793103448,0.5254237288135594
11,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",0.13725490196078433,0.13302752293577982,0.13857142857142857,0.41068941504178275,0.3024812918471839,0.49641185647425895,0.801980198019802,0.7011642949547219,0.8845338983050848
12,Dutchess County (Southwest) PUMA,0.03202846975088968,0.0199468085106383,0.0417558886509636,0.19476905954368393,0.1253841425937308,0.2521606507371632,0.4280701754385965,0.46005509641873277,0.40447154471544716
13,Ulster County (East) PUMA,0.22807017543859648,0.28852459016393445,0.19066937119675456,0.42635938062657547,0.43734643734643736,0.41079199303742386,0.8251968503937008,0.84593837535014,0.7985611510791367
14,Orange County (Northwest) PUMA,0.11835875854813256,0.13145539906103287,0.11172741679873217,0.2659310965998649,0.2942982456140351,0.23600185099490975,0.47344801795063574,0.4410958904109589,0.5123558484349259
15,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",0.08577942433741807,0.06192236598890943,0.09641532756489493,0.2473127309371851,0.20872831336075837,0.2814627196454013,0.5275808936825886,0.4011299435028249,0.679322033898305
16,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",0.0687988099665303,0.015586034912718205,0.14746543778801843,0.22764227642276422,0.05235602094240838,0.3564102564102564,0.4144486692015209,0.2671232876712329,0.5982905982905983
17,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",0.17439293598233996,0.10602409638554217,0.23217922606924643,0.2675312199807877,0.27924217462932455,0.2511520737327189,0.41304347826086957,0.4717741935483871,0.2916666666666667
18,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",0.1342281879194631,0.1535806729939603,0.12081339712918661,0.25688945201140323,0.23758278145695363,0.2769993533089028,0.5803858520900321,0.5716573258606885,0.5891848264729621
19,Monroe County (Central)--Greece & Gates Towns PUMA,0.22453703703703703,0.0,0.2966360856269113,0.11663807890222985,0.011111111111111112,0.25428194993412384,0.56973293768546,0.5021645021645021,0.7169811320754716
20,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,0.05472455308281649,0.059336823734729496,0.05141065830721003,0.15848826577263028,0.0990990990990991,0.21967821782178218,0.33260869565217394,0.09859154929577464,0.7102272727272727
21,Orange County (Northeast)--Greater Newburgh City PUMA,0.023728813559322035,0.0,0.03874538745387454,0.17793925843115335,0.17534345625451916,0.18069973087274124,0.4485207100591716,0.42376237623762375,0.4852941176470588
22,Suffolk County (East) PUMA,0.0,0.0,0.0,0.300561797752809,0.20618556701030927,0.4652956298200514,0.23008849557522124,0.39097744360902253,0.0
23,Tompkins County PUMA,0.13394495412844037,0.036585365853658534,0.28110599078341014,0.2852173913043478,0.33070866141732286,0.24922118380062305,0.19553072625698323,0.2,0.1937984496124031
24,Monroe County (Central)--Rochester City (East) PUMA,0.30319148936170215,0.13777777777777778,0.3738140417457306,0.4939557374000372,0.3347126436781609,0.6021236727045597,0.7118893466745144,0.6700280112044817,0.7582145071295723
25,Ontario & Yates Counties PUMA,0.31295843520782396,0.375,0.21739130434782608,0.48073394495412847,0.4581818181818182,0.5037037037037037,0.5830618892508144,0.22151898734177214,0.9664429530201343
26,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",0.12178988326848249,0.07482993197278912,0.14632701421800948,0.35778125863816457,0.26715077393464554,0.44217081850533807,0.597319719208679,0.47657762291908634,0.7445703493862134
27,Chautauqua County PUMA,0.07364341085271318,0.15447154471544716,0.0,0.5105982100800753,0.4695731153496821,0.5547945205479452,0.8774635818337618,0.9590163934426229,0.7881508078994613
28,Genesee & Orleans Counties PUMA,0.0,0.0,0.0,0.4446564885496183,0.44904458598726116,0.4380952380952381,0.47692307692307695,0.3584905660377358,1.0
29,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",0.10834990059642147,0.06636155606407322,0.140597539543058,0.2367601246105919,0.18947368421052632,0.2702127659574468,0.24761904761904763,0.25067385444743934,0.2445054945054945
