,puma,BABS_UnEmp_Total,BABS_UnEmp_M,BABS_UnEmp_F,HS_UnEmp_Total,HS_UnEmp_M,HS_UnEmp_F,HSINC_UnEmp_Total,HSINC_UnEmp_M,HSINC_UnEmp_F
0,Total Geo,3.6905913627053644,2.623579889870086,4.740887299292291,4.575108732017397,4.209787002264713,5.086958268064425,4.731642612500248,2.7162314992378422,8.84288236238164
1,Nassau County (Central)--Hempstead Town (Northeast) PUMA,0.0,0.0,0.0,1.8266014921533316,0.0,4.132712456344587,0.0,0.0,#DIV/0!
2,"Chenango, Delaware & Broome (East) Counties PUMA",0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
3,Cayuga & Onondaga (South) Counties PUMA,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!,0.0,#DIV/0!,0.0
4,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,0.0,0.0,0.0,6.086015688395997,8.640497845859263,2.767412935323383,2.5533536585365852,0.0,9.344490934449093
5,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",6.175173282923756,8.12133072407045,4.711078395288921,2.6961098985749135,2.5263620386643235,2.934816187828236,0.0,0.0,0.0
6,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",1.410495747770172,0.0,2.183336008990207,2.5873142088201115,1.2935436287302848,4.100318471337579,0.0,0.0,0.0
7,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",20.292887029288703,0.0,25.526315789473685,26.0,0.0,32.5,#DIV/0!,#DIV/0!,#DIV/0!
8,Erie County (Northwest) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
9,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,4.148982877213522,3.3784812052959974,4.862579281183932,7.563025210084033,0.0,14.308426073131955,0.0,0.0,#DIV/0!
10,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Saratoga County (South & Central) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
12,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,3.8114343029087263,0.0,6.850961538461539,3.3333333333333335,10.413223140495868,0.0,0.0,0.0,0.0
13,Columbia & Greene Counties PUMA,12.5,0.0,25.892857142857146,0.0,0.0,0.0,0.0,0.0,#DIV/0!
14,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,5.795036218976369,7.3277753400614305,3.9865389593580116,1.001834344574573,0.0,3.3348990136214187,0.0,0.0,0.0
15,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,0.8607333448097779,0.0,1.438021282714984,0.0,0.0,0.0,0.0,0.0,0.0
16,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,2.4632553075666848,0.0,5.803142032702789,2.316694530690232,1.3336626327488268,3.236994219653179,12.646370023419204,16.718266253869967,0.0
17,Putnam County PUMA,0.0,0.0,0.0,9.094242757609095,0.0,22.64840182648402,0.0,0.0,0.0
18,Nassau County (Northwest)--North Hempstead Town (North) PUMA,3.381037567084079,2.1052631578947367,5.127118644067796,6.41262036467937,5.136986301369863,8.312085670576238,0.0,0.0,0.0
19,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,4.875886524822695,0.0,10.22685013015991,4.589282403115149,5.451050391322258,2.797602055381102,3.2323232323232323,0.0,11.53450051493306
20,Rockland County (North)--New City & Congers PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",0.0,0.0,0.0,4.27645788336933,2.0824909017387787,6.791840519239685,3.940455341506129,0.0,7.7275329135661135
22,Orange County (Northwest) PUMA,8.924843423799581,8.49056603773585,9.6,8.095740936290039,4.891922639362913,13.29639889196676,0.0,0.0,#DIV/0!
23,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,4.234381988966751,1.3078826440438318,6.3692625064466215,15.421303656597773,15.683646112600535,15.0390625,0.0,#DIV/0!,0.0
24,Dutchess County (Southwest) PUMA,9.28295150252901,16.762589928057555,4.008117706747844,0.0,0.0,0.0,0.0,0.0,0.0
25,Westchester County (Northwest) PUMA,1.303680981595092,0.0,2.2742474916387962,0.0,0.0,0.0,0.0,0.0,0.0
26,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,1.6034985422740524,2.1566761814145257,1.0261502813637868,1.3304566702624956,2.216896345116836,0.0,25.555555555555554,18.693693693693696,47.16312056737589
28,Saratoga County (Outer) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
29,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,3.4803546021670138,0.7668711656441718,7.09002805406784,5.919237521946326,5.839632429227805,6.022247794399693,6.598407281001138,6.9004956157072055,5.711086226203808
30,Erie County (South) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
31,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",6.696764484574869,9.051186017478152,4.504504504504505,3.888429263680416,2.122391227449593,7.4456715354470955,19.153577661431065,8.424599831508003,30.67873303167421
32,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,0.0,0.0,0.0,5.093416370106762,0.0,9.93923611111111,0.0,0.0,0.0
33,Suffolk County (Central)--Brookhaven Town (Central) PUMA,0.0,0.0,0.0,4.71884713195818,0.0,10.53627760252366,0.0,0.0,0.0
34,St. Lawrence County PUMA,0.0,0.0,0.0,7.960199004975125,10.526315789473683,0.0,0.0,0.0,0.0
35,Genesee & Orleans Counties PUMA,0.0,0.0,#DIV/0!,0.0,0.0,#DIV/0!,0.0,0.0,#DIV/0!
36,Monroe County (Central)--Rochester City (West) PUMA,23.04075235109718,100.0,14.160839160839162,43.645320197044335,82.95880149812734,0.0,#DIV/0!,#DIV/0!,#DIV/0!
37,Wayne & Seneca Counties PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,0.0
38,Warren & Washington Counties PUMA,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
39,Erie County (North Central) PUMA,1.327987972939113,0.0,3.7938439513242663,0.0,0.0,0.0,0.0,0.0,0.0
40,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
41,Dutchess County (North & East) PUMA,0.0,0.0,0.0,18.269230769230766,20.87912087912088,0.0,14.116251482799525,0.0,100.0
42,Tompkins County PUMA,2.3299748110831233,0.0,4.202157864849517,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!
43,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",2.722255369928401,1.020653218059558,5.511811023622047,0.0,0.0,0.0,0.0,0.0,#DIV/0!
44,Onondaga County (Central)--Syracuse City PUMA,0.0,0.0,0.0,16.6848023213638,21.176470588235293,10.332749562171628,11.655874190564292,12.524850894632205,0.0
45,Suffolk County (South Central)--Brookhaven Town (South) PUMA,0.0,0.0,0.0,10.579514824797844,15.18375241779497,0.0,0.0,0.0,0.0
46,Suffolk County (Northwest)--Smithtown Town PUMA,7.068403908794789,0.0,12.779740871613662,0.0,0.0,0.0,0.0,0.0,#DIV/0!
47,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
48,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,7.037914691943128,2.386634844868735,10.550395119922362,1.1165555466302515,0.804976216611782,1.7176470588235293,6.0458313018039975,7.465382299819385,0.0
49,Onondaga County (Central)--Syracuse City (Outer) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,0.0,0.0,0.0,40.79822616407982,40.29197080291971,42.3963133640553,0.0,0.0,0.0
51,Erie County (West Central)--Buffalo City (West) PUMA,5.550049554013875,15.342465753424658,0.0,8.914285714285715,13.26530612244898,0.0,0.0,0.0,#DIV/0!
52,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,0.0
53,Monroe County (North & West) PUMA,44.44444444444444,72.88503253796095,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,0.0,0.0,0.0,16.051243406179353,0.0,27.466150870406192,0.0,0.0,0.0
55,Cattaraugus & Allegany Counties PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
56,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",3.871384019787074,5.047579644187008,2.5979843225083985,0.0,0.0,0.0,4.719501335707925,6.955380577427822,0.0
57,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,17.720907774022212,10.341805433829974,26.7741935483871,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
58,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,8.5,50.495049504950494,0.0
59,Jefferson & Lewis Counties PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
60,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,5.378271782000717,9.230769230769232,0.0,11.4073574080324,16.77917068466731,8.515057113187954,0.0,0.0,0.0
61,Schenectady County--Schenectady City PUMA,0.0,0.0,0.0,10.666666666666668,15.65217391304348,0.0,0.0,0.0,#DIV/0!
62,NYC-Queens Community District 1--Astoria & Long Island City PUMA,0.9732581408040749,1.2370311252992818,0.7522567703109327,5.249321573948439,4.767408263507657,5.9342915811088295,0.0,0.0,0.0
63,Suffolk County (North Central)--Brookhaven Town (North) PUMA,2.156411730879816,0.0,5.060728744939271,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
64,Fulton & Montgomery Counties PUMA,24.031007751937985,24.031007751937985,#DIV/0!,9.15032679738562,0.0,12.982998454404946,0.0,0.0,0.0
65,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,0.0,0.0,0.0,7.408695652173913,13.387806411062225,0.0,7.971864009378664,0.0,30.22222222222222
66,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",1.5949871831387068,4.24886191198786,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Oswego County PUMA,0.0,0.0,0.0,22.97979797979798,0.0,28.526645768025077,0.0,0.0,#DIV/0!
