,puma,BABS_UnEmp_Total,BABS_UnEmp_M,BABS_UnEmp_F,HS_UnEmp_Total,HS_UnEmp_M,HS_UnEmp_F,HSINC_UnEmp_Total,HSINC_UnEmp_M,HSINC_UnEmp_F
0,Total Geo,2.454575053589565,2.7060468112899554,2.2214367781449273,4.305860023533584,4.461322271640289,4.1145679434013775,7.460478155906861,7.807086749219634,6.72022661229274
1,Monroe County (Central)--Rochester City (East) PUMA,1.8214822233350025,3.7699183832102605,0.0,5.133664537497043,2.1316225165562916,9.138597459966869,0.0,0.0,0.0
2,NYC-Brooklyn Community District 4--Bushwick PUMA,4.5762838190355515,5.146964446155821,3.7859936011375757,1.159488878371983,0.0,3.5226455787203452,0.0,0.0,#DIV/0!
3,NYC-Manhattan Community District 10--Central Harlem PUMA,3.201994056178698,3.9808068242402705,2.289758534554538,6.103822019395323,0.0,11.732456140350877,0.0,0.0,#DIV/0!
4,Ontario & Yates Counties PUMA,2.383603238866397,2.7286821705426356,2.0525532969757068,1.6244268297017737,2.135473340587595,1.0648596321393997,0.0,0.0,0.0
5,Albany County (Outside Albany City) PUMA,0.5483163462778997,1.1789999306470629,0.0,5.063928021782881,6.435369632580788,3.4868923390175617,19.10994764397906,27.323767935121644,0.0
6,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",1.8789144050104383,3.1385469048031904,0.8651967624895338,4.686657542200655,4.32246724193033,5.079775765416128,4.234062797335871,3.005865102639296,6.504065040650407
7,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,2.622557422008913,5.645756457564575,0.0,8.723430396854651,11.365278112208042,5.970898143502258,0.0,0.0,0.0
8,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",3.151572813224713,2.3428571428571425,4.0287591421842075,4.051881230571337,1.5231187669990935,7.708442579968537,100.0,100.0,#DIV/0!
9,Warren & Washington Counties PUMA,1.7876848377841537,1.7174515235457064,1.834189288334556,4.638814701767773,6.7098956864956305,1.961070204855289,14.539637397795948,4.875148632580261,28.912466843501328
10,Erie County (North Central) PUMA,2.587561968481722,3.4752532323149143,1.7366592990211556,3.0291231895343405,4.3736786469344615,1.099734546833523,0.0,0.0,0.0
11,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",4.217394565135871,4.927608795427045,3.155793937882001,0.0,0.0,0.0,0.0,0.0,0.0
12,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,0.3021718602455146,0.6266523058846568,0.0,3.021838496698832,2.5148556876061123,3.776864728192162,0.0,0.0,0.0
13,Nassau County (Central)--Hempstead Town (Northeast) PUMA,2.872724479606729,1.2457732692649939,4.108108108108108,1.710127349909036,3.0176565008025684,0.0,0.0,0.0,#DIV/0!
14,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
15,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,4.116890853792368,3.896683673469388,4.329858755319805,6.071557643657391,5.848291835552982,6.442307692307692,0.0,0.0,#DIV/0!
16,Onondaga County (Central)--Syracuse City PUMA,1.5241882041086812,1.9121951219512194,1.1585141596175064,3.7686867782651503,3.180212014134275,4.261971367451045,36.92307692307693,31.901840490797547,41.131105398457585
17,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,2.2796750807930826,1.6245487364620936,3.0252100840336134,2.208668330098882,1.1613797885248742,3.4045922406967537,0.0,0.0,#DIV/0!
18,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,1.010631316445728,0.9719353662981411,1.0560867703724848,1.3238434163701067,2.373054350599643,0.0,10.588235294117647,10.588235294117647,#DIV/0!
19,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",4.380900631664742,0.0,8.89777900400055,0.0,0.0,0.0,0.0,0.0,0.0
20,Monroe County (Central)--Rochester City (West) PUMA,3.840177580466149,10.60049019607843,0.0,9.97639653815893,7.12258064516129,14.435483870967742,11.524163568773234,0.0,31.0
21,"Chenango, Delaware & Broome (East) Counties PUMA",0.0,0.0,0.0,6.415048836368022,7.6140092412777065,4.614920571083853,9.173228346456693,11.958041958041958,5.585585585585585
22,Dutchess County (North & East) PUMA,2.2833868180696126,2.731745209735888,1.875,4.0621971261219505,4.607653652879783,3.408669877732493,18.75,0.0,44.470588235294116
23,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,5.363924050632911,3.641360357265545,6.834848929304782,3.2464004346644932,5.2573691157061155,0.0,0.0,0.0,0.0
24,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,1.3041024269969996,1.3923536578290885,1.211493972969682,1.7674305216967334,1.624405705229794,1.9961977186311788,9.58904109589041,4.3927648578811365,29.76588628762542
25,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,2.560429722470904,1.6191210485736314,3.376797057840187,4.271313856142149,2.616571620261657,5.988857938718663,0.0,0.0,#DIV/0!
26,Westchester County (Southeast) PUMA,1.5379020107029666,2.103559870550162,0.8580253975517674,3.3436092008536873,0.0,9.684065934065934,0.0,0.0,0.0
27,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,0.0
28,Westchester County (Northwest) PUMA,2.038812251578209,1.2478485370051635,2.647034494168252,1.057292607988433,1.8055555555555554,0.0,0.0,0.0,#DIV/0!
29,Monroe County (South) PUMA,1.5816927477704863,1.0037857060915452,2.1345478489903424,1.5074611714546746,0.6357156617222115,2.4785407725321886,5.994550408719346,7.525655644241732,0.0
